id,sx,sy,tx,ty,dup,data,dir,region
0,526,0,29,1,0,0,0,1
1,1212,0,68,1,0,0,0,1
2,44,0,2,1,0,0,0,1
3,579,0,32,1,0,0,0,1
4,507,0,28,1,0,0,0,1
5,277,0,15,1,0,10962,0,1
6,50,0,3,1,0,0,1,1
7,51,0,3,1,0,0,1,1
8,52,0,3,1,0,0,1,1
9,53,0,3,1,0,0,1,1
10,54,0,3,1,0,0,1,1
11,55,0,3,1,0,0,1,1
12,56,0,3,1,0,0,1,1
13,57,0,3,1,0,0,1,1
14,58,0,3,1,0,0,1,1
15,59,0,3,1,0,0,1,1
16,60,0,3,1,0,0,1,1
17,61,0,3,1,0,0,1,1
18,62,0,3,1,0,1662,1,1
19,63,0,3,1,0,0,1,1
20,64,0,3,1,0,0,1,1
21,65,0,3,1,0,0,1,1
22,66,0,3,1,0,0,1,1
23,67,0,3,1,0,0,1,1
24,3,1,0,2,0,14,0,1
25,3,1,1,2,0,14,0,1
26,3,1,2,2,0,0,0,1
27,3,1,3,2,0,14,0,1
28,3,1,4,2,0,0,0,1
29,3,1,5,2,0,1564,0,1
30,3,1,6,2,0,0,0,1
31,3,1,7,2,0,14,0,1
32,3,1,8,2,0,0,0,1
33,3,1,9,2,0,14,0,1
34,3,1,10,2,0,0,0,1
35,3,1,11,2,0,0,0,1
36,3,1,12,2,0,0,0,1
37,3,1,13,2,0,0,0,1
38,3,1,14,2,0,14,0,1
39,3,1,15,2,0,0,0,1
40,3,1,16,2,0,14,0,1
41,3,1,17,2,0,0,0,1
42,921,0,51,1,0,112,0,1
43,1228,0,69,1,0,0,0,1
44,320,0,18,1,0,0,1,1
45,321,0,18,1,0,0,1,1
46,322,0,18,1,0,0,1,1
47,323,0,18,1,0,0,1,1
48,324,0,18,1,0,0,1,1
49,325,0,18,1,0,0,1,1
50,326,0,18,1,0,0,1,1
51,327,0,18,1,0,0,1,1
52,328,0,18,1,0,0,1,1
53,329,0,18,1,0,0,1,1
54,330,0,18,1,0,0,1,1
55,331,0,18,1,0,0,1,1
56,332,0,18,1,0,0,1,1
57,333,0,18,1,0,1662,1,1
58,334,0,18,1,0,1662,1,1
59,335,0,18,1,0,1662,1,1
60,18,1,18,2,0,0,0,1
61,18,1,19,2,0,14,0,1
62,18,1,20,2,0,14,0,1
63,18,1,21,2,0,28,0,1
64,18,1,22,2,0,14,0,1
65,18,1,23,2,0,28,0,1
66,18,1,24,2,0,0,0,1
67,18,1,25,2,0,14,0,1
68,18,1,26,2,0,14,0,1
69,18,1,27,2,0,28,0,1
70,18,1,28,2,0,42,0,1
71,18,1,29,2,0,14,0,1
72,18,1,30,2,0,0,0,1
73,18,1,31,2,0,0,0,1
74,18,1,32,2,0,28,0,1
75,18,1,33,2,0,14,0,1
76,18,1,34,2,0,42,0,1
77,18,1,35,2,0,14,0,1
78,231,0,13,1,0,7862,0,1
79,1171,0,66,1,0,0,1,1
80,1172,0,66,1,0,0,1,1
81,1173,0,66,1,0,0,1,1
82,1174,0,66,1,0,0,1,1
83,1175,0,66,1,0,0,1,1
84,1176,0,66,1,0,0,1,1
85,1177,0,66,1,0,0,1,1
86,1178,0,66,1,0,0,1,1
87,1179,0,66,1,0,0,1,1
88,1180,0,66,1,0,0,1,1
89,1181,0,66,1,0,0,1,1
90,1182,0,66,1,0,0,1,1
91,1183,0,66,1,0,0,1,1
92,1184,0,66,1,0,0,1,1
93,1185,0,66,1,0,0,1,1
94,1186,0,66,1,0,0,1,1
95,1187,0,66,1,0,0,1,1
96,1188,0,66,1,0,0,1,1
97,66,1,55,2,0,0,0,1
98,66,1,56,2,0,0,0,1
